icao,iata,name,city,country,latitude,longitude,timezone
06N7,NYS,New York Skyports Seaplane Base,New York,US,40.73399083,-73.97291638,America/New_York
19AK,ICY,Icy Bay Airport,Icy Bay,US,59.96900177,-141.662002563,America/Anchorage
2AK6,HGZ,Hog River Airport,Hogatza,US,66.2161026,-155.6690063,America/Anchorage
38WA,BYW,Blakely Island Airport,Blakely Island,US,48.5789985657,-122.825996399,America/Los_Angeles
3IS8,BDF,Rinkenberger Restricted Landing Area,Bradford,US,41.2308998108,-89.6156997681,America/Chicago
65LA,BCS,Southern Seaplane Airport,Belle Chasse,US,29.8661003113,-90.0222015381,America/Chicago
7NC2,DUF,Pine Island Airport,Corolla,US,36.2535018921,-75.7884979248,America/New_York
82CL,FOB,Fort Bragg Airport,Fort Bragg,US,39.4743003845,-123.79599762,America/Los_Angeles
AGAF,AFT,Afutara Aerodrome,Bila,SB,-9.1913888889,160.948611111,Pacific/Guadalcanal
AGAR,RNA,Ulawa Airport,Arona,SB,-9.8605435826,161.979546547,Pacific/Guadalcanal
AGAT,ATD,Uru Harbour Airport,Atoifi,SB,-8.8733301163,161.0110015869,Pacific/Guadalcanal
AGBA,VEV,Barakoma Airport,Barakoma,SB,-7.912779808,156.7059936523,Pacific/Guadalcanal
AGBT,BPF,Batuna Aerodrome,Batuna Mission Station,SB,-8.5620277778,158.119305556,Pacific/Guadalcanal
AGEV,GEF,Geva Airport,Liangia,SB,-7.5758299828,156.5970001221,Pacific/Guadalcanal
AGGA,AKS,Auki Airport,Auki,SB,-8.7025699616,160.682006836,Pacific/Guadalcanal
AGGB,BNY,Bellona/Anua Airport,Anua,SB,-11.3022222222,159.798333333,Pacific/Guadalcanal
AGGC,CHY,Choiseul Bay Airport,Unknown,SB,-6.711944,156.396111,Pacific/Guadalcanal
AGGE,BAS,Ballalae Airport,Ballalae,SB,-6.990745,155.886656,Pacific/Guadalcanal
AGGF,FRE,Fera/Maringe Airport,Fera Island,SB,-8.1075000763,159.5769958496,Pacific/Guadalcanal
