code,name,family_code,priority
741,Boeing 747-100,BOEING_747,HIGH
B741,Boeing 747-100,BOEING_747,HIGH
742,Boeing 747-200,BOEING_747,HIGH
B742,Boeing 747-200,BOEING_747,HIGH
743,Boeing 747-300,BOEING_747,HIGH
B743,Boeing 747-300,BOEING_747,HIGH
744,Boeing 747-400,BOEING_747,HIGH
B744,Boeing 747-400,BOEING_747,HIGH
BLCF,Boeing 747-400 (LCF) Dreamlifter,BOEING_747,HIGH
747,Boeing 747,BOEING_747,HIGH
748,Boeing 747-8,BOEING_747,HIGH
B748,Boeing 747-8,BOEING_747,HIGH
74B,Boeing 747,BOEING_747,HIGH
74C,Boeing 747,BOEING_747,HIGH
74D,Boeing 747,BOEING_747,HIGH
74E,Boeing 747,BOEING_747,HIGH
74F,Boeing 747,BOEING_747,HIGH
74H,Boeing 747,BOEING_747,HIGH
74J,Boeing 747,BOEING_747,HIGH
74L,Boeing 747,BOEING_747,HIGH
N74S,Boeing 747,BOEING_747,HIGH
74M,Boeing 747,BOEING_747,HIGH
74N,Boeing 747,BOEING_747,HIGH
74R,Boeing 747,BOEING_747,HIGH
B74R,Boeing 747,BOEING_747,HIGH
74U,Boeing 747,BOEING_747,HIGH
74X,Boeing 747,BOEING_747,HIGH
74Y,Boeing 747,BOEING_747,HIGH
752,Boeing 757-200,BOEING_757,LOW
B752,Boeing 757-200,BOEING_757,LOW
753,Boeing 757-300,BOEING_757,LOW
B753,Boeing 757-300,BOEING_757,LOW
757,Boeing 757,BOEING_757,LOW
75F,Boeing 757-200,BOEING_757,LOW
75M,Boeing 757-200,BOEING_757,LOW
75T,Boeing 757-300,BOEING_757,LOW
75W,Boeing 757-200,BOEING_757,LOW
762,Boeing 767-200,BOEING_767,MEDIUM
B762,Boeing 767-200,BOEING_767,MEDIUM
763,Boeing 767-300,BOEING_767,MEDIUM
B763,Boeing 767-300,BOEING_767,MEDIUM
764,Boeing 767-400,BOEING_767,MEDIUM
B764,Boeing 767-400,BOEING_767,MEDIUM
767,Boeing 767,BOEING_767,MEDIUM
76F,Boeing 767-300,BOEING_767,MEDIUM
76W,Boeing 767-300ER,BOEING_767,MEDIUM
76V,Boeing 767-300,BOEING_767,MEDIUM
76X,Boeing 767-F,BOEING_767,MEDIUM
76Y,Boeing 767-F,BOEING_767,MEDIUM
772,Boeing 777-200,BOEING_777,HIGH
B772,Boeing 777-200,BOEING_777,HIGH
773,Boeing 777-300,BOEING_777,HIGH
B773,Boeing 777-300,BOEING_777,HIGH
777,Boeing 777,BOEING_777,HIGH
77F,Boeing 777-F,BOEING_777,HIGH
77L,Boeing 777-F,BOEING_777,HIGH
77W,Boeing 777-300ER,BOEING_777,HIGH
B77W,Boeing 777-300ER,BOEING_777,HIGH
77X,Boeing 777-F,BOEING_777,HIGH
B77L,Boeing 777-F,BOEING_777,HIGH
B779,Boeing 777-9,BOEING_777,HIGH
B778,Boeing 777-8,BOEING_777,HIGH
787,Boeing 787,BOEING_787,MEDIUM
781,Boeing 787-10,BOEING_787,MEDIUM
B78X,Boeing 787-10,BOEING_787,MEDIUM
788,Boeing 787-8,BOEING_787,MEDIUM
B788,Boeing 787-8,BOEING_787,MEDIUM
789,Boeing 787-9,BOEING_787,MEDIUM
B789,Boeing 787-9,BOEING_787,MEDIUM
A124,Antonov An-124,AN124,HIGH
A4F,Airbus A400M Atlas,AIRBUS_A400,HIGH
A400,Airbus A400M Atlas,AIRBUS_A400,HIGH
A306,Airbus A300-600,AIRBUS_A300,HIGH
AB6,Airbus A300-600,AIRBUS_A300,HIGH
ABY,Airbus A300-600,AIRBUS_A300,HIGH
A30B,"Airbus A300B2, A300B4 and A300C4",AIRBUS_A300,HIGH
AB4,"Airbus A300B2, A300B4 and A300C4",AIRBUS_A300,HIGH
310,Airbus A310,AIRBUS_A310,HIGH
A310,Airbus A310,AIRBUS_A310,HIGH
312,Airbus A310-200,AIRBUS_A310,HIGH
313,Airbus A310-300,AIRBUS_A310,HIGH
330,Airbus A330,AIRBUS_A330,HIGH
A330,Airbus A330,AIRBUS_A330,HIGH
332,Airbus A330-200,AIRBUS_A330,HIGH
A332,Airbus A330-200,AIRBUS_A330,HIGH
333,Airbus A330-300,AIRBUS_A330,HIGH
A333,Airbus A330-300,AIRBUS_A330,HIGH
A337,Airbus A330-700 Beluga XL,AIRBUS_A330,HIGH
338,Airbus A330-800,AIRBUS_A330,HIGH
A338,Airbus A330-800,AIRBUS_A330,HIGH
339,Airbus A330-900,AIRBUS_A330,HIGH
A339,Airbus A330-900,AIRBUS_A330,HIGH
33X,Airbus A330,AIRBUS_A330,HIGH
340,Airbus A340,AIRBUS_A340,HIGH
